ISO_YSAMP_N,ISO_FISH_N,ITEM_N,NUM,CATEGORY,GROUP,TAXON,SAMPLE_TYPE,N2_AMP,PER_N,D15N,CO2_AMP,PER_C,D13C,SD_D13C_VPDB,H2_AMP,PER_H,D2H,CO2_AREA,D18O_VSMOW,SD_D18O_VSMOW,D18O_VPDB,SD_D18O_VPDB,COMMENT
SIC.HNM.2021.016,,21-ase-77,,INVERT,ISOPOD,ASELLIDAE,TISSUE,1322,7.66,0.17,872,32.15,-30.27,,,,,,,,,,
SIC.LOP.2021.002,,21-cae-2,,INVERT,INSECT,CAENIDAE,TISSUE,2776,8.59,0.64,2127,43.8,-26.35,,,,,,,,,,
SIC.WFL.2021.025,,21-cal-20,,INVERT,INSECT,COENAGRIONIDAE,TISSUE,2267,11.02,6.79,1345,42.4,-36.66,,,,,,,,,,
SIC.WFL.2021.024,,21-cal-21,,INVERT,INSECT,CALOPTERYGIDAE,TISSUE,3631,10.85,4.72,2230,44.48,-30.73,,,,,,,,,,
SIC.HNM.2021.025,,21-CF-1,,INVERT,CRAYFISH,FI,TISSUE,3809,11.85,4.38,2116,44.07,-27.58,,,,,,,,,,
SIC.TPP.2021.023,,21-CF-10,,INVERT,CRAYFISH,FI,TISSUE,4427,14.12,4.07,2134,45.49,-29.97,,,,,,,,,,
SIC.LOP.2021.021,,21-CF-11,,INVERT,CRAYFISH,CO,TISSUE,4067,12.5,4.79,2010,41.17,-26.09,,,,,,,,,,
SIC.LOP.2021.021,,21-CF-12,,INVERT,CRAYFISH,CO,TISSUE,4389,13.44,4.5,2135,43.69,-25.88,,,,,,,,,,
SIC.LOP.2021.019,,21-CF-13,,INVERT,CRAYFISH,CO,TISSUE,3506,11.36,3.92,1980,42.74,-25.33,,,,,,,,,,
SIC.LOP.2021.029,,21-CF-14,,INVERT,CRAYFISH,CO,TISSUE,3980,13.06,4.48,1997,43.61,-27.93,,,,,,,,,,
SIC.LOP.2021.023,,21-CF-15,,INVERT,CRAYFISH,CO,TISSUE,4202,13.23,4.94,2087,43.87,-25.32,,,,,,,,,,
SIC.LOP.2021.023,,21-CF-16,,INVERT,CRAYFISH,CO,TISSUE,4157,13.15,3.99,2049,43.23,-25.48,,,,,,,,,,
SIC.LOP.2021.023,,21-CF-17,,INVERT,CRAYFISH,CO,TISSUE,4651,13.66,4.14,2225,43.82,-24,,,,,,,,,,
SIC.LOP.2021.023,,21-CF-18,,INVERT,CRAYFISH,CO,TISSUE,4509,13.1,4.5,2239,43.42,-22.86,,,,,,,,,,
SIC.PRL.2021.030,,21-CF-19,,INVERT,CRAYFISH,FI,TISSUE,4055,13.19,5.93,2002,43.28,-28.64,,,,,,,,,,
SIC.ETL.2021.003,,21-CF-2,,INVERT,CRAYFISH,FI,TISSUE,4524,13.02,6.91,2243,43.29,-27.21,,,,,,,,,,
SIC.PRL.2021.031,,21-CF-20,,INVERT,CRAYFISH,CB,TISSUE,4006,12.84,5.24,2051,43.86,-29.63,,,,,,,,,,
SIC.PRL.2021.031,,21-CF-21,,INVERT,CRAYFISH,CB,TISSUE,4097,12.48,4.88,2174,44.28,-26.87,,,,,,,,,,
SIC.LOP.2021.003,,21-CF-22,,INVERT,CRAYFISH,CO,TISSUE,4229,13.27,3.68,2089,43.83,-25.57,,,,,,,,,,
SIC.LOP.2021.003,,21-CF-23,,INVERT,CRAYFISH,CO,TISSUE,4075,13.5,4.95,2008,44.36,-26.69,,,,,,,,,,
SIC.LOP.2021.003,,21-CF-24,,INVERT,CRAYFISH,CO,TISSUE,4481,13,4.04,2275,44.37,-27.89,,,,,,,,,,
SIC.LOP.2021.003,,21-CF-25,,INVERT,CRAYFISH,CO,TISSUE,4233,12.95,3.65,2082,42.57,-26.77,,,,,,,,,,
SIC.PRL.2021.010,,21-CF-26,,INVERT,CRAYFISH,FI,TISSUE,4101,13.83,6.75,2002,44.69,-26.25,,,,,,,,,,
SIC.ETL.2021.002,,21-CF-27,,INVERT,CRAYFISH,FI,TISSUE,4037,13.38,7.22,1986,43.44,-26.99,,,,,,,,,,
SIC.LML.2021.016,,21-CF-28-1,,INVERT,CRAYFISH,FP,TISSUE,3884,12.77,6.13,2074,45.35,-24.08,,,,,,,,,,
SIC.LML.2021.024,,21-CF-28-2,1,INVERT,CRAYFISH,FP,TISSUE,3884,12.77,6.13,2074,45.35,-24.08,,,,,,,,,,
SIC.LML.2021.016,,21-CF-29-1,,INVERT,CRAYFISH,FP,TISSUE,4251,13.7,4.09,2103,45.28,-20.89,,,,,,,,,,
SIC.LML.2021.024,,21-CF-29-2,1,INVERT,CRAYFISH,FP,TISSUE,4251,13.7,4.09,2103,45.28,-20.89,,,,,,,,,,
SIC.ETL.2021.003,,21-CF-3,,INVERT,CRAYFISH,CR,TISSUE,4715,14.06,7.03,2278,45.7,-23.19,,,,,,,,,,
SIC.LML.2021.014,,21-CF-30-1,,INVERT,CRAYFISH,CO,TISSUE,4218,12.59,4.47,2110,41.87,-24.11,,,,,,,,,,
SIC.LML.2021.022,,21-CF-30-2,1,INVERT,CRAYFISH,CO,TISSUE,4218,12.59,4.47,2110,41.87,-24.11,,,,,,,,,,
SIC.LOP.2021.039,,21-CF-33,,INVERT,CRAYFISH,CO,TISSUE,4569,14.05,4.29,2185,44.78,-25.58,,,,,,,,,,
SIC.LOP.2021.037,,21-CF-34,,INVERT,CRAYFISH,CO,TISSUE,4596,13.93,4.31,2203,44.59,-27.58,,,,,,,,,,
SIC.LOP.2021.037,,21-CF-35,,INVERT,CRAYFISH,CO,TISSUE,4022,13.13,4.05,2058,44.71,-25.88,,,,,,,,,,
SIC.PRL.2021.019,,21-CF-36,,INVERT,CRAYFISH,FI,TISSUE,4193,13.83,3.97,2013,43.85,-29.11,,,,,,,,,,
SIC.LML.2021.026,,21-CF-37-1,,INVERT,CRAYFISH,FI,TISSUE,3910,12.68,5.45,1927,41.32,-21.53,,,,,,,,,,
SIC.LML.2021.034,,21-CF-37-2,1,INVERT,CRAYFISH,FI,TISSUE,3910,12.68,5.45,1927,41.32,-21.53,,,,,,,,,,
SIC.PRL.2021.011,,21-CF-38,,INVERT,CRAYFISH,FI,TISSUE,4096,13.44,5.36,1993,43.39,-30.77,,,,,,,,,,
SIC.PRL.2021.008,,21-CF-39,,INVERT,CRAYFISH,CR,TISSUE,4193,14.21,6.31,2031,45.67,-28.07,,,,,,,,,,
SIC.LOP.2021.010,,21-CF-4,,INVERT,CRAYFISH,CO,TISSUE,4626,13.77,3.85,2252,45.12,-27.23,,,,,,,,,,
SIC.PRL.2021.008,,21-CF-40,,INVERT,CRAYFISH,CR,TISSUE,3862,13.29,6.3,1992,45.51,-34.29,,,,,,,,,,
SIC.LML.2021.012,,21-CF-41-1,,INVERT,CRAYFISH,CR,TISSUE,4045,12.74,5,2069,43.54,-23.68,,,,,,,,,,
SIC.LML.2021.020,,21-CF-41-2,1,INVERT,CRAYFISH,CR,TISSUE,4045,12.74,5,2069,43.54,-23.68,,,,,,,,,,
SIC.LOP.2021.035,,21-CF-42,,INVERT,CRAYFISH,CO,TISSUE,4400,14,3.06,2099,44.64,-26.6,,,,,,,,,,
SIC.LOP.2021.035,,21-CF-43,,INVERT,CRAYFISH,CO,TISSUE,3913,12.37,6.25,2073,43.67,-26.05,,,,,,,,,,
SIC.LOP.2021.010,,21-CF-5,,INVERT,CRAYFISH,CO,TISSUE,4728,13.85,3.97,2235,44.11,-26.23,,,,,,,,,,
SIC.LSP.2022.001,,21-CF-50,,INVERT,CRAYFISH,FI,TISSUE,4010,12.87,4.4,1998,42.41,-25.21,,,,,,,,,,
SIC.LSP.2022.001,,21-CF-51,,INVERT,CRAYFISH,FI,TISSUE,4202,12.95,4.83,2121,43.45,-27.12,,,,,,,,,,
SIC.USP.2022.001,,21-CF-52,,INVERT,CRAYFISH,FI,TISSUE,4311,13.61,4.77,2098,44.02,-27.42,,,,,,,,,,
SIC.TPP.2021.009,,21-CF-6,,INVERT,CRAYFISH,FI,TISSUE,4409,13.54,3.65,2127,43.77,-29.25,,,,,,,,,,
SIC.TPP.2021.032,,21-CF-7,,INVERT,CRAYFISH,FI,TISSUE,4019,13.55,4.18,1990,44.68,-30.67,,,,,,,,,,
SIC.TPP.2021.026,,21-CF-8,,INVERT,CRAYFISH,FI,TISSUE,4283,12.88,4.24,2146,43.13,-28.71,,,,,,,,,,
SIC.TPP.2021.023,,21-CF-9,,INVERT,CRAYFISH,FI,TISSUE,4332,13.87,3.94,2089,44.59,-29.62,,,,,,,,,,
SIC.LML.2021.027,,21-chi-118-1,1,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3551,10.21,2.46,2284,45.04,-23.61,,,,,,,,,,
SIC.LML.2021.027,,21-chi-118-2,1,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3551,10.21,2.46,2284,45.04,-23.61,,,,,,,,,,
SIC.LML.2021.029,,21-chi-118-3,1,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3551,10.21,2.46,2284,45.04,-23.61,,,,,,,,,,
SIC.LML.2021.030,,21-chi-118-4,1,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3551,10.21,2.46,2284,45.04,-23.61,,,,,,,,,,
SIC.LML.2021.035,,21-chi-118-5,1,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3551,10.21,2.46,2284,45.04,-23.61,,,,,,,,,,
SIC.LML.2021.037,,21-chi-118-6,1,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3551,10.21,2.46,2284,45.04,-23.61,,,,,,,,,,
SIC.LML.2021.038,,21-chi-118-7,1,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3551,10.21,2.46,2284,45.04,-23.61,,,,,,,,,,
SIC.COM.2021.009,,21-chi-52,,INVERT,INSECT,CHIRONOMIDAE,TISSUE,3511,11.46,2.07,2094,45.39,-30.01,,,,,,,,,,
SIC.HNM.2021.018,,21-cla-72,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,2090,7.05,5.03,1563,34.45,-32.91,,,,,,,,,,
SIC.HNM.2021.018,,21-cla-73,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,3164,11.1,2.55,2000,46.53,-29.43,,,,,,,,,,
SIC.HNM.2021.018,,21-cla-74,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,3110,11.18,5.4,1927,45.79,-35,,,,,,,,,,
SIC.HNM.2021.018,,21-cla-75,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,3520,11.48,4.58,2130,46.29,-34.36,,,,,,,,,,
SIC.LOP.2021.018,,21-clam-5,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,3431,10.19,2.78,2307,45.95,-30.58,,,,,,,,,,
SIC.LOP.2021.018,,21-clam-6,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,3827,11.06,2.57,2356,45.91,-29.27,,,,,,,,,,
SIC.LOP.2021.002,,21-clam-68,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,3283,9.81,2.61,2330,46.59,-31.31,,,,,,,,,,
SIC.PRL.2020.001,,21-clam-92,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,3485,10.75,2.14,2228,45.93,-29.14,,,,,,,,,,
SIC.PRL.2021.015,,21-clam-95,,INVERT,FINGERNAIL CLAM,SPHAERIIDAE,TISSUE,973,6.58,1.36,777,33.36,-28.74,,,,,,,,,,
SIC.LML.2021.032,,21-coe-116,1,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3372,11.47,3.62,2011,44.63,-26.04,,,,,,,,,,
SIC.LML.2021.025,,21-coe-130,1,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3499,10.7,3.05,2174,43.72,-25.41,,,,,,,,,,
SIC.LML.2021.021,,21-coe-156,1,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3684,9.9,3.49,2226,41.19,-23.66,,,,,,,,,,
SIC.COM.2021.009,,21-coe-61,,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3258,11.87,4.61,1871,45,-29.74,,,,,,,,,,
SIC.COM.2021.011,,21-coe-62,,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3570,11.14,3.53,2118,44.02,-28.91,,,,,,,,,,
SIC.HNM.2021.016,,21-coe-69,,INVERT,INSECT,COENAGRIONIDAE,TISSUE,2910,11.37,2.74,1665,42.61,-29.06,,,,,,,,,,
SIC.PRL.2021.013,,21-coe-70,,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3859,11.38,4.97,2264,44.7,-30.46,,,,,,,,,,
SIC.HNM.2021.016,,21-coe-81,,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3434,11.2,2.66,1977,42.73,-29.38,,,,,,,,,,
SIC.PRL.2021.015,,21-coe-98,,INVERT,INSECT,COENAGRIONIDAE,TISSUE,3439,11.09,4.06,1988,42.34,-26.86,,,,,,,,,,
SIC.LML.2021.035,,21-cor-134,1,INVERT,INSECT,CORDULEGASTERIDAE,TISSUE,2185,6.78,4.73,1366,28.36,-24.02,,,,,,,,,,
SIC.COM.2021.009,,21-cor-53,,INVERT,INSECT,CORDULIDAE,TISSUE,3613,10.9,2.64,2180,43.81,-29.81,,,,,,,,,,
SIC.LML.2021.029,,21-cra-165,1,INVERT,AMPHIPOD,CRANGONYCTIDAE,TISSUE,2748,8.05,3.73,1798,35.64,-24.26,,,,,,,,,,
SIC.LML.2021.027,,21-emp-151,1,INVERT,INSECT,EPHEMERIDAE,TISSUE,3624,10.21,0.81,2317,45.03,-21.4,,,,,,,,,,
SIC.LML.2021.030,,21-eph-128,1,INVERT,INSECT,EPHEMERIDAE,TISSUE,2993,10.16,1.81,2013,44.85,-19.82,,,,,,,,,,
SIC.LML.2021.032,,21-eph-132,1,INVERT,INSECT,EPHEMERIDAE,TISSUE,3156,10.06,0.69,2172,45.66,-27.25,,,,,,,,,,
SIC.PRL.2021.015,,21-ger-101,,INVERT,INSECT,GERRIDAE,TISSUE,3489,11.28,4.41,2250,48.31,-27.05,,,,,,,,,,
SIC.LML.2021.029,,21-gom-135,1,INVERT,INSECT,GOMPHIDAE,TISSUE,3437,10.61,1.87,2075,43.81,-24.2,,,,,,,,,,
SIC.LML.2021.032,,21-gom-143,1,INVERT,INSECT,GOMPHIDAE,TISSUE,3647,10.86,2.73,2271,46.66,-26.16,,,,,,,,,,
SIC.TPP.2021.013,,21-gom-31,,INVERT,INSECT,GOMPHIDAE,TISSUE,3416,10.83,2.92,2063,43.51,-28.55,,,,,,,,,,
SIC.TPP.2021.013,,21-gom-36,,INVERT,INSECT,GOMPHIDAE,TISSUE,3048,9.76,3.45,1895,40.09,-24,,,,,,,,,,
SIC.HNM.2021.017,,21-gom-44,,INVERT,INSECT,GOMPHIDAE,TISSUE,3327,10.49,3.51,2117,44.36,-30.04,,,,,,,,,,
SIC.COM.2021.006,,21-gom-55,,INVERT,INSECT,GOMPHIDAE,TISSUE,2739,9.34,3.98,1934,43.45,-30.32,,,,,,,,,,
SIC.COM.2021.008,,21-gom-57,,INVERT,INSECT,GOMPHIDAE,TISSUE,2798,9.57,3.34,2014,45.6,-30.25,,,,,,,,,,
SIC.HNM.2021.016,,21-gom-80,,INVERT,INSECT,GOMPHIDAE,TISSUE,3301,10.42,2.75,2135,44.95,-29.07,,,,,,,,,,
SIC.PRL.2021.014,,21-hal-94,,INVERT,INSECT,HALIPIDAE,TISSUE,3091,10.77,3.31,1924,44.38,-27.95,,,,,,,,,,
SIC.LOP.2021.002,,21-hep-1,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2692,8.59,0.76,2296,49.06,-24.96,,,,,,,,,,
SIC.PRL.2021.016,,21-hep-108,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3501,10.77,2.11,2190,44.57,-27.43,,,,,,,,,,
SIC.LOP.2021.018,,21-hep-11,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2529,8.59,0.1,2137,48.41,-23.87,,,,,,,,,,
SIC.LML.2021.023,,21-hep-114,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3406,10.64,1.01,2271,46.8,-24.4,,,,,,,,,,
SIC.LML.2021.033,,21-hep-126,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3106,9.99,0.85,2277,48.14,-24.95,,,,,,,,,,
SIC.LML.2021.021,,21-hep-133,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3223,10.44,0.89,2223,47.5,-19.38,,,,,,,,,,
SIC.LML.2021.028,,21-hep-136,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2817,9.14,0.47,2179,48.3,-26.22,,,,,,,,,,
SIC.LML.2021.031,,21-hep-138,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3122,10.33,0.43,2090,47.28,-19.79,,,,,,,,,,
SIC.LML.2021.026,,21-hep-140,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3721,11.32,0.75,2215,46.37,-20.66,,,,,,,,,,
SIC.LML.2021.027,,21-hep-150,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3166,10.49,0.14,2171,49.35,-19.11,,,,,,,,,,
SIC.WFL.2021.025,,21-hep-17,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,1548,7.03,4.13,1529,45.31,-38.64,,,,,,,,,,
SIC.LML.2021.036,,21-hep-173,1,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3248,10.06,1.56,2206,46.71,-20.19,,,,,,,,,,
SIC.WFL.2021.023,,21-hep-18,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2666,8.97,3.28,2143,48.04,-27.17,,,,,,,,,,
SIC.WFL.2021.024,,21-hep-19,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2272,7.25,2.79,2437,52.23,-30.58,,,,,,,,,,
SIC.TPP.2021.015,,21-hep-37,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2047,7.14,0.46,2228,51.64,-32.29,,,,,,,,,,
SIC.TPP.2021.013,,21-hep-39,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2347,6.79,0.37,2620,51.11,-25.21,,,,,,,,,,
SIC.LOP.2021.016,,21-hep-4,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2865,9.72,0.6,2083,47.03,-20.97,,,,,,,,,,
SIC.LOP.2021.017,,21-hep-41,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3192,9.81,0.5,2210,45.29,-26.19,,,,,,,,,,
SIC.ETL.2021.001,,21-hep-82,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,2883,9.67,1.83,2152,47.97,-23.53,,,,,,,,,,
SIC.PRL.2021.015,,21-hep-97,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3226,11.1,3.91,1944,44.26,-28.71,,,,,,,,,,
SIC.LOP.2021.002,,21-lea-29,,INVERT,LEECH,HIRUDINEA,TISSUE,3127,9.74,6.82,2264,47.23,-28.45,,,,,,,,,,
SIC.TPP.2021.014,,21-lea-33,,INVERT,LEECH,HIRUDINEA,TISSUE,4193,12.32,3.9,2364,46.45,-26.99,,,,,,,,,,
SIC.PRL.2021.015,,21-lep-102,,INVERT,INSECT,LEPTOPHLEBIIDAE,TISSUE,2686,9.43,0.72,2083,48.29,-27.26,,,,,,,,,,
SIC.WFL.2021.025,,21-lep-14,,INVERT,INSECT,LEPTOPHLEBIIDAE,TISSUE,2692,9.25,3.45,2196,50.25,-40.11,,,,,,,,,,
SIC.PRL.2021.015,,21-lib-100,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3525,11.05,3.58,2117,43.93,-24.17,,,,,,,,,,
SIC.PRL.2021.016,,21-lib-103,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3131,11.01,3.17,1892,43.64,-27.42,,,,,,,,,,
SIC.PRL.2021.016,,21-lib-104,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3769,11.32,4.37,2205,43.96,-22.3,,,,,,,,,,
SIC.LML.2021.030,,21-lib-122,1,INVERT,INSECT,LIBELLULIDAE,TISSUE,3456,10.11,2.51,2166,41.8,-17.26,,,,,,,,,,
SIC.LML.2021.029,,21-lib-158,1,INVERT,INSECT,LIBELLULIDAE,TISSUE,3439,9.98,1.99,2133,42.57,-23.89,,,,,,,,,,
SIC.TPP.2021.013,,21-lib-32,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3162,10.52,3.64,2096,46.44,-28.7,,,,,,,,,,
SIC.TPP.2021.015,,21-lib-34,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3285,10.66,2.99,1956,42.09,-31.84,,,,,,,,,,
SIC.TPP.2021.015,,21-lib-35,,INVERT,INSECT,LIBELLULIDAE,TISSUE,2969,10.3,2.11,1830,41.95,-31.66,,,,,,,,,,
SIC.HNM.2021.007,,21-lib-51,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3017,10.19,3.99,1894,42.25,-36.37,,,,,,,,,,
SIC.COM.2021.009,,21-lib-54,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3370,10.97,2.37,2030,43.69,-30.92,,,,,,,,,,
SIC.COM.2021.006,,21-lib-56-1,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3438,10.37,3.43,2175,43.81,-29.98,,,,,,,,,,
SIC.COM.2021.006,,21-lib-56-2,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3127,10.22,3.57,1973,42.72,-29.94,,,,,,,,,,
SIC.COM.2021.008,,21-lib-59,,INVERT,INSECT,LIBELLULIDAE,TISSUE,2816,9.74,3.04,1954,44.78,-30.88,,,,,,,,,,
SIC.PRL.2021.015,,21-lib-99,,INVERT,INSECT,LIBELLULIDAE,TISSUE,3505,11.07,3.63,2002,41.81,-25.21,,,,,,,,,,
SIC.HNM.2021.018,,21-lim-78,,INVERT,SNAIL,PLANORBIDAE,TISSUE,1548,4.59,2.78,1299,24.93,-29.8,,,,,,,,,,
SIC.HNM.2021.017,,21-lym-47,,INVERT,SNAIL,LYMNEIDAE,TISSUE,3039,9.18,4.07,1947,38.97,-26.65,,,,,,,,,,
SIC.HNM.2021.018,,21-lym-71,,INVERT,SNAIL,LYMNEIDAE,TISSUE,2817,8.75,2.85,1886,38.74,-35.64,,,,,,,,,,
SIC.LOP.2021.017,,21-mic-40,,INVERT,INSECT,MACROMIIDAE,TISSUE,3103,10.84,2.64,1989,46.08,-30.05,,,,,,,,,,
SIC.LML.2021.035,,21-mol-127,1,INVERT,INSECT,MOLANIDAE,TISSUE,3398,10.56,5.11,2215,45.26,-25.19,,,,,,,,,,
SIC.COM.2021.011,,21-nem-28,,INVERT,NEMATODE,NEMATODA,TISSUE,4232,13.22,3.6,2113,43.89,-23.88,,,,,,,,,,
SIC.PRL.2021.015,,21-not-96,,INVERT,INSECT,NOTONECTIDAE,TISSUE,3710,11.69,4.45,2259,47.45,-29.38,,,,,,,,,,
SIC.LML.2021.028,,21-per-129,1,INVERT,INSECT,PERLIDAE,TISSUE,3447,11.55,3.03,2046,45,-24.5,,,,,,,,,,
SIC.LML.2021.036,,21-per-174,1,INVERT,INSECT,PERLIDAE,TISSUE,3292,10.8,2.68,2153,48.23,-17.77,,,,,,,,,,
SIC.WFL.2021.023,,21-phr-24,,INVERT,INSECT,PHRYGANEDIAE,TISSUE,2297,6.94,3.29,2425,49.17,-26.58,,,,,,,,,,
SIC.COM.2021.009,,21-phy-64,,INVERT,INSECT,PHRYGANEDIAE,TISSUE,1427,10.5,5.28,945,44.66,-29.64,,,,,,,,,,
SIC.LML.2021.036,,21-pla-111,1,INVERT,SNAIL,PLANORBIDAE,TISSUE,1796,5.47,0.88,1463,28.82,-14.25,,,,,,,,,,
SIC.LML.2021.036,,21-pla-125,1,INVERT,SNAIL,PLANORBIDAE,TISSUE,3131,9.47,4.67,2028,40.13,-27.36,,,,,,,,,,
SIC.LML.2021.023,,21-pse-113,1,INVERT,INSECT,PSEPHENIDAE,TISSUE,2692,8.85,-1.32,2219,48.13,-23.57,,,,,,,,,,
SIC.LML.2021.033,,21-pse-117,1,INVERT,INSECT,PSEPHENIDAE,TISSUE,2753,8.39,-0.49,2356,47.39,-28.29,,,,,,,,,,
SIC.LML.2021.036,,21-pse-119,1,INVERT,INSECT,PSEPHENIDAE,TISSUE,2936,9.5,1.56,2207,47.05,-23.94,,,,,,,,,,
SIC.LML.2021.035,,21-pse-123,1,INVERT,INSECT,PSEPHENIDAE,TISSUE,2522,8.16,0.39,2242,47.84,-20.76,,,,,,,,,,
SIC.LML.2021.021,,21-pse-137,1,INVERT,INSECT,PSEPHENIDAE,TISSUE,3112,9.75,-1.93,2223,47.82,-21.35,,,,,,,,,,
SIC.LML.2021.026,,21-pse-161,1,INVERT,INSECT,PSEPHENIDAE,TISSUE,2700,9.66,-1.9,1918,46.48,-21.29,,,,,,,,,,
SIC.LOP.2021.018,,21-s-10,,INVERT,SNAIL,LYMNEIDAE,TISSUE,2087,6.24,0.34,1279,24.81,-21.01,,,,,,,,,,
SIC.LOP.2021.018,,21-s-7,,INVERT,SNAIL,PLANORBIDAE,TISSUE,2220,6.81,1.43,1510,30.24,-21.47,,,,,,,,,,
